symbol,ticker,market,currency,yahoo_symbol,figi
AILIH.US,AILIH,US,USD,AILIH,
AILIM.US,AILIM,US,USD,AILIM,
AILIN.US,AILIN,US,USD,AILIN,
AILIO.US,AILIO,US,USD,AILIO,
AILIP.US,AILIP,US,USD,AILIP,
AILLI.US,AILLI,US,USD,AILLI,
AILLM.US,AILLM,US,USD,AILLM,
AILLN.US,AILLN,US,USD,AILLN,
AILLO.US,AILLO,US,USD,AILLO,
AILLP.US,AILLP,US,USD,AILLP,
AIM.US,AIM,US,USD,AIM,
AIMD.US,AIMD,US,USD,AIMD,
AIMDW.US,AIMDW,US,USD,AIMDW,
AIN.US,AIN,US,USD,AIN,
AIO.US,AIO,US,USD,AIO,
AIOK.US,AIOK,US,USD,AIOK,
AIOS.US,AIOS,US,USD,AIOS,
AIOT.US,AIOT,US,USD,AIOT,
AIP.US,AIP,US,USD,AIP,
AIQD.US,AIQD,US,USD,AIQD,
AIQU.US,AIQU,US,USD,AIQU,
AIQUF.US,AIQUF,US,USD,AIQUF,
AIR.US,AIR,US,USD,AIR,
AIRE.US,AIRE,US,USD,AIRE,
AIRG.US,AIRG,US,USD,AIRG,
AIRI.US,AIRI,US,USD,AIRI,
AIRJ.US,AIRJ,US,USD,AIRJ,
AIRJW.US,AIRJW,US,USD,AIRJW,
AIRO.US,AIRO,US,USD,AIRO,
AIRS.US,AIRS,US,USD,AIRS,
AIRT.US,AIRT,US,USD,AIRT,
AIRTP.US,AIRTP,US,USD,AIRTP,
AISP.US,AISP,US,USD,AISP,
AISPW.US,AISPW,US,USD,AISPW,
AIT.US,AIT,US,USD,AIT,
AITTF.US,AITTF,US,USD,AITTF,
AITX.US,AITX,US,USD,AITX,
AIV.US,AIV,US,USD,AIV,
AIXC.US,AIXC,US,USD,AIXC,
AIXI.US,AIXI,US,USD,AIXI,
AIXN.US,AIXN,US,USD,AIXN,
AIZ.US,AIZ,US,USD,AIZ,
AIZN.US,AIZN,US,USD,AIZN,
AJG.US,AJG,US,USD,AJG,
AKA.US,AKA,US,USD,AKA,
AKAM.US,AKAM,US,USD,AKAM,
AKAN.US,AKAN,US,USD,AKAN,
AKBA.US,AKBA,US,USD,AKBA,
AKCLY.US,AKCLY,US,USD,AKCLY,
AKO-A.US,AKO-A,US,USD,AKO-A,
AKO-B.US,AKO-B,US,USD,AKO-B,
AKPPS.US,AKPPS,US,USD,AKPPS,
AKR.US,AKR,US,USD,AKR,
AKTS.US,AKTS,US,USD,AKTS,
AKTX.US,AKTX,US,USD,AKTX,
AKZOF.US,AKZOF,US,USD,AKZOF,
AKZOY.US,AKZOY,US,USD,AKZOY,
ALAB.US,ALAB,US,USD,ALAB,
ALAR.US,ALAR,US,USD,ALAR,
ALB-PA.US,ALB-PA,US,USD,ALB-PA,
ALB.US,ALB,US,USD,ALB,
ALBC.US,ALBC,US,USD,ALBC,
ALC.US,ALC,US,USD,ALC,
ALCE.US,ALCE,US,USD,ALCE,
ALCED.US,ALCED,US,USD,ALCED,
ALCO.US,ALCO,US,USD,ALCO,
ALCUF.US,ALCUF,US,USD,ALCUF,
ALCWF.US,ALCWF,US,USD,ALCWF,
ALCYF.US,ALCYF,US,USD,ALCYF,
ALDA.US,ALDA,US,USD,ALDA,
ALDF.US,ALDF,US,USD,ALDF,
ALDFU.US,ALDFU,US,USD,ALDFU,
ALDFW.US,ALDFW,US,USD,ALDFW,
ALDS.US,ALDS,US,USD,ALDS,
ALDX.US,ALDX,US,USD,ALDX,
ALEC.US,ALEC,US,USD,ALEC,
ALEGF.US,ALEGF,US,USD,ALEGF,
ALEUY.US,ALEUY,US,USD,ALEUY,
ALF.US,ALF,US,USD,ALF,
ALFUU.US,ALFUU,US,USD,ALFUU,
ALFUW.US,ALFUW,US,USD,ALFUW,
ALG.US,ALG,US,USD,ALG,
ALGM.US,ALGM,US,USD,ALGM,
ALGN.US,ALGN,US,USD,ALGN,
ALGRF.US,ALGRF,US,USD,ALGRF,
ALGS.US,ALGS,US,USD,ALGS,
ALGT.US,ALGT,US,USD,ALGT,
ALH.US,ALH,US,USD,ALH,
ALHC.US,ALHC,US,USD,ALHC,
ALIS.US,ALIS,US,USD,ALIS,
ALISR.US,ALISR,US,USD,ALISR,
ALISU.US,ALISU,US,USD,ALISU,
ALIT.US,ALIT,US,USD,ALIT,
ALK.US,ALK,US,USD,ALK,
ALKS.US,ALKS,US,USD,ALKS,
ALKT.US,ALKT,US,USD,ALKT,
ALL-PB.US,ALL-PB,US,USD,ALL-PB,
ALL-PH.US,ALL-PH,US,USD,ALL-PH,
ALL-PI.US,ALL-PI,US,USD,ALL-PI,
ALL-PJ.US,ALL-PJ,US,USD,ALL-PJ,
