symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
ACNB.US,ACNB CORP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACNB,US,United States,,,,,,,
ACNT.US,ASCENT INDUSTRIES CO.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACNT,US,United States,,,,,,,
ACOG.US,Alpha Cognition Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACOG,US,United States,,,,,,,
ACON.US,"Aclarion, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACON,US,United States,,,,,,,
ACONW.US,"Aclarion, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACONW,US,United States,,,,,,,
ACP-PA.US,abrdn Income Credit Strategies Fund,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACP-PA,US,United States,,,,,,,
ACP.US,abrdn Income Credit Strategies Fund,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACP,US,United States,,,,,,,
ACR-PC.US,ACRES Commercial Realty Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACR-PC,US,United States,,,,,,,
ACR-PD.US,ACRES Commercial Realty Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACR-PD,US,United States,,,,,,,
ACR.US,ACRES Commercial Realty Corp.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACR,US,United States,,,,,,,
ACRE.US,Ares Commercial Real Estate Corp,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACRE,US,United States,,,,,,,
ACRG.US,"American Clean Resources Group, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACRG,US,United States,,,,,,,
ACRL.US,"Atacama Resources International, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACRL,US,United States,,,,,,,
ACRS.US,"Aclaris Therapeutics, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACRS,US,United States,,,,,,,
ACRV.US,"Acrivon Therapeutics, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACRV,US,United States,,,,,,,
ACT.US,"Enact Holdings, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACT,US,United States,,,,,,,
ACTG.US,ACACIA RESEARCH CORP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACTG,US,United States,,,,,,,
ACTU.US,"ACTUATE THERAPEUTICS, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACTU,US,United States,,,,,,,
ACU.US,ACME UNITED CORP,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACU,US,United States,,,,,,,
ACUT.US,Accustem Sciences Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACUT,US,United States,,,,,,,
ACV.US,Virtus Diversified Income & Convertible Fund,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACV,US,United States,,,,,,,
ACVA.US,ACV Auctions Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACVA,US,United States,,,,,,,
ACXP.US,"Acurx Pharmaceuticals, Inc.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ACXP,US,United States,,,,,,,
AD.US,"ARRAY DIGITAL INFRASTRUCTURE, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,AD,US,United States,,,,,,,
ADAC.US,American Drive Acquisition Co,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAC,US,United States,,,,,,,
ADACU.US,American Drive Acquisition Co,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADACU,US,United States,,,,,,,
ADACW.US,American Drive Acquisition Co,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADACW,US,United States,,,,,,,
ADAG.US,Adagene Inc.,STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAG,US,United States,,,,,,,
ADAM.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAM,US,United States,,,,,,,
ADAMG.US,"ADAMAS TRUST, INC.",STOCK,STC,SEC EDGAR company_tickers.json,USD,USD,ADAMG,US,United States,,,,,,,
