symbol,description,asset_class,category_name,group_name,currency,currency_profit,ticker,market,market_name,precision,contract_size,leverage,long_only,short_selling,margin_mode,instrument_type
EST.PL,ENEFI VAGYONKEZELŐ NYRT.,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EST,PL,Poland (GPW),,,,,,,
ETCGLDRMAU.PL,ETCGLDRMAU,ETF,ETF,GPW ETF,PLN,PLN,ETCGLDRMAU,PL,Poland (GPW),,,,,,,
ETFBCASH.PL,ETFBCASH,ETF,ETF,GPW ETF,PLN,PLN,ETFBCASH,PL,Poland (GPW),,,,,,,
ETFBDIVPL.PL,ETFBDIVPL,ETF,ETF,GPW ETF,PLN,PLN,ETFBDIVPL,PL,Poland (GPW),,,,,,,
ETFBM40LV.PL,ETFBM40LV,ETF,ETF,GPW ETF,PLN,PLN,ETFBM40LV,PL,Poland (GPW),,,,,,,
ETFBM40ST.PL,ETFBM40ST,ETF,ETF,GPW ETF,PLN,PLN,ETFBM40ST,PL,Poland (GPW),,,,,,,
ETFBM40TR.PL,ETFBM40TR,ETF,ETF,GPW ETF,PLN,PLN,ETFBM40TR,PL,Poland (GPW),,,,,,,
ETFBNDXPL.PL,ETFBNDXPL,ETF,ETF,GPW ETF,PLN,PLN,ETFBNDXPL,PL,Poland (GPW),,,,,,,
ETFBNQ2ST.PL,ETFBNQ2ST,ETF,ETF,GPW ETF,PLN,PLN,ETFBNQ2ST,PL,Poland (GPW),,,,,,,
ETFBNQ3LV.PL,ETFBNQ3LV,ETF,ETF,GPW ETF,PLN,PLN,ETFBNQ3LV,PL,Poland (GPW),,,,,,,
ETFBS80TR.PL,ETFBS80TR,ETF,ETF,GPW ETF,PLN,PLN,ETFBS80TR,PL,Poland (GPW),,,,,,,
ETFBSPXPL.PL,ETFBSPXPL,ETF,ETF,GPW ETF,PLN,PLN,ETFBSPXPL,PL,Poland (GPW),,,,,,,
ETFBTBSP.PL,ETFBTBSP,ETF,ETF,GPW ETF,PLN,PLN,ETFBTBSP,PL,Poland (GPW),,,,,,,
ETFBTCPL.PL,ETFBTCPL,ETF,ETF,GPW ETF,PLN,PLN,ETFBTCPL,PL,Poland (GPW),,,,,,,
ETFBW20LV.PL,ETFBW20LV,ETF,ETF,GPW ETF,PLN,PLN,ETFBW20LV,PL,Poland (GPW),,,,,,,
ETFBW20ST.PL,ETFBW20ST,ETF,ETF,GPW ETF,PLN,PLN,ETFBW20ST,PL,Poland (GPW),,,,,,,
ETFBW20TR.PL,ETFBW20TR,ETF,ETF,GPW ETF,PLN,PLN,ETFBW20TR,PL,Poland (GPW),,,,,,,
ETFDAX.PL,ETFDAX,ETF,ETF,GPW ETF,PLN,PLN,ETFDAX,PL,Poland (GPW),,,,,,,
ETFHANARMY.PL,ETFHANARMY,ETF,ETF,GPW ETF,PLN,PLN,ETFHANARMY,PL,Poland (GPW),,,,,,,
ETFHANCPPR.PL,ETFHANCPPR,ETF,ETF,GPW ETF,PLN,PLN,ETFHANCPPR,PL,Poland (GPW),,,,,,,
ETFHANDRON.PL,ETFHANDRON,ETF,ETF,GPW ETF,PLN,PLN,ETFHANDRON,PL,Poland (GPW),,,,,,,
ETFHANESGO.PL,ETFHANESGO,ETF,ETF,GPW ETF,PLN,PLN,ETFHANESGO,PL,Poland (GPW),,,,,,,
ETFHANGR8.PL,ETFHANGR8,ETF,ETF,GPW ETF,PLN,PLN,ETFHANGR8,PL,Poland (GPW),,,,,,,
ETFHANMMLP.PL,ETFHANMMLP,ETF,ETF,GPW ETF,PLN,PLN,ETFHANMMLP,PL,Poland (GPW),,,,,,,
ETFHANUKRN.PL,ETFHANUKRN,ETF,ETF,GPW ETF,PLN,PLN,ETFHANUKRN,PL,Poland (GPW),,,,,,,
ETFHANURNM.PL,ETFHANURNM,ETF,ETF,GPW ETF,PLN,PLN,ETFHANURNM,PL,Poland (GPW),,,,,,,
ETFNATO.PL,ETFNATO,ETF,ETF,GPW ETF,PLN,PLN,ETFNATO,PL,Poland (GPW),,,,,,,
ETFPZUCASH.PL,ETFPZUCASH,ETF,ETF,GPW ETF,PLN,PLN,ETFPZUCASH,PL,Poland (GPW),,,,,,,
ETFPZUGOLD.PL,ETFPZUGOLD,ETF,ETF,GPW ETF,PLN,PLN,ETFPZUGOLD,PL,Poland (GPW),,,,,,,
ETFPZULONGDUR.PL,ETFPZULONGDUR,ETF,ETF,GPW ETF,PLN,PLN,ETFPZULONGDUR,PL,Poland (GPW),,,,,,,
ETFPZUW20M40.PL,ETFPZUW20M40,ETF,ETF,GPW ETF,PLN,PLN,ETFPZUW20M40,PL,Poland (GPW),,,,,,,
ETFPZUWORLD.PL,ETFPZUWORLD,ETF,ETF,GPW ETF,PLN,PLN,ETFPZUWORLD,PL,Poland (GPW),,,,,,,
ETFSP500.PL,ETFSP500,ETF,ETF,GPW ETF,PLN,PLN,ETFSP500,PL,Poland (GPW),,,,,,,
ETL.PL,EUROTEL SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,ETL,PL,Poland (GPW),,,,,,,
ETNVCOIN50.PL,ETNVCOIN50,ETF,ETF,GPW ETF,PLN,PLN,ETNVCOIN50,PL,Poland (GPW),,,,,,,
ETNVIRALT.PL,ETNVIRALT,ETF,ETF,GPW ETF,PLN,PLN,ETNVIRALT,PL,Poland (GPW),,,,,,,
ETNVIRBTCP.PL,ETNVIRBTCP,ETF,ETF,GPW ETF,PLN,PLN,ETNVIRBTCP,PL,Poland (GPW),,,,,,,
ETNVIRETH.PL,ETNVIRETH,ETF,ETF,GPW ETF,PLN,PLN,ETNVIRETH,PL,Poland (GPW),,,,,,,
ETNVIRHYPE.PL,ETNVIRHYPE,ETF,ETF,GPW ETF,PLN,PLN,ETNVIRHYPE,PL,Poland (GPW),,,,,,,
ETNVIRLINK.PL,ETNVIRLINK,ETF,ETF,GPW ETF,PLN,PLN,ETNVIRLINK,PL,Poland (GPW),,,,,,,
ETNVIRSOL.PL,ETNVIRSOL,ETF,ETF,GPW ETF,PLN,PLN,ETNVIRSOL,PL,Poland (GPW),,,,,,,
ETNVIRXRP.PL,ETNVIRXRP,ETF,ETF,GPW ETF,PLN,PLN,ETNVIRXRP,PL,Poland (GPW),,,,,,,
EUC.PL,EUROPEJSKIE CENTRUM ODSZKODOWAŃ SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EUC,PL,Poland (GPW),,,,,,,
EUR.PL,EUROCASH SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,EUR,PL,Poland (GPW),,,,,,,
FAB.PL,FABRITY SPÓŁKA AKCYJNA,STOCK,STC,GPW Glowny Rynek,PLN,PLN,FAB,PL,Poland (GPW),,,,,,,
